match_id,season,competition,round,date,home_team_id,away_team_id,home_goals,away_goals,arena,result
181,2003,Brasileirão Série A,16,2003-07-05,BRA044,BRA034,1,4, São Januário,A
182,2003,Brasileirão Série A,16,2003-07-05,BRA042,BRA041,1,1, Morumbi,D
183,2003,Brasileirão Série A,16,2003-07-05,BRA020,BRA018,1,0, Orlando Scarpelli,H
184,2003,Brasileirão Série A,16,2003-07-05,BRA005,BRA035,3,2,  Independência,H
185,2003,Brasileirão Série A,16,2003-07-06,BRA025,BRA021,2,0, Olímpico,H
186,2003,Brasileirão Série A,16,2003-07-06,BRA027,BRA024,3,2, Brinco de Ouro,H
187,2003,Brasileirão Série A,16,2003-07-06,BRA003,BRA015,3,1, Arena da Baixada,H
188,2003,Brasileirão Série A,16,2003-07-06,BRA031,BRA028,1,1, Alfredo Jaconi,D
189,2003,Brasileirão Série A,16,2003-07-06,BRA023,BRA017,0,1, Presidente Vargas,A
190,2003,Brasileirão Série A,16,2003-07-06,BRA045,BRA036,1,4, Barradão,A
191,2003,Brasileirão Série A,16,2003-07-06,BRA040,BRA016,3,1, Vila Belmiro,H
192,2003,Brasileirão Série A,16,2003-07-06,BRA022,BRA007,1,0, Maracanã,H
193,2003,Brasileirão Série A,17,2003-07-09,BRA041,BRA003,0,0, Anacleto Campanella,D
194,2003,Brasileirão Série A,17,2003-07-09,BRA015,BRA040,1,1, Morumbi,D
195,2003,Brasileirão Série A,17,2003-07-09,BRA018,BRA023,2,0, Mineirão,H
196,2003,Brasileirão Série A,17,2003-07-09,BRA007,BRA027,2,0, Fonte Nova,H
197,2003,Brasileirão Série A,17,2003-07-09,BRA035,BRA020,1,0, Mangueirão,H
198,2003,Brasileirão Série A,17,2003-07-09,BRA024,BRA045,1,1, Serra Dourada,D
199,2003,Brasileirão Série A,17,2003-07-09,BRA021,BRA031,2,1, Maracanã,H
200,2003,Brasileirão Série A,17,2003-07-09,BRA028,BRA044,2,1, Beira Rio,H
201,2003,Brasileirão Série A,17,2003-07-09,BRA016,BRA042,0,2, Couto Pereira,A
202,2003,Brasileirão Série A,17,2003-07-10,BRA036,BRA022,3,0, Moisés Lucarelli,H
203,2003,Brasileirão Série A,17,2003-07-10,BRA017,BRA005,1,0, Heriberto Hulse,H
204,2003,Brasileirão Série A,17,2003-07-10,BRA034,BRA025,3,1, Pinheirão,H
205,2003,Brasileirão Série A,18,2003-07-12,BRA003,BRA024,0,0, Arena da Baixada,D
206,2003,Brasileirão Série A,18,2003-07-12,BRA023,BRA028,3,0, Castelão,H
207,2003,Brasileirão Série A,18,2003-07-12,BRA044,BRA035,0,2, São Januário,A
208,2003,Brasileirão Série A,18,2003-07-13,BRA005,BRA021,1,0, Mineirão,H
209,2003,Brasileirão Série A,18,2003-07-13,BRA036,BRA007,1,0, Moisés Lucarelli,H
210,2003,Brasileirão Série A,18,2003-07-13,BRA015,BRA016,0,1, Morumbi,A
211,2003,Brasileirão Série A,18,2003-07-13,BRA017,BRA031,3,0, Heriberto Hulse,H
212,2003,Brasileirão Série A,18,2003-07-13,BRA020,BRA034,4,2, Orlando Scarpelli,H
213,2003,Brasileirão Série A,18,2003-07-13,BRA041,BRA027,0,2, Anacleto Campanella,A
214,2003,Brasileirão Série A,18,2003-07-13,BRA022,BRA042,1,3, Maracanã,A
215,2003,Brasileirão Série A,18,2003-07-13,BRA025,BRA018,0,1, Olímpico,A
216,2003,Brasileirão Série A,18,2003-07-13,BRA045,BRA040,2,0, Barradão,H
217,2003,Brasileirão Série A,19,2003-07-16,BRA021,BRA023,0,2, Maracanã,A
218,2003,Brasileirão Série A,19,2003-07-16,BRA031,BRA020,1,2, Alfredo Jaconi,A
219,2003,Brasileirão Série A,19,2003-07-16,BRA007,BRA041,0,0, Fonte Nova,D
220,2003,Brasileirão Série A,19,2003-07-16,BRA016,BRA022,3,0, Couto Pereira,H
221,2003,Brasileirão Série A,19,2003-07-16,BRA027,BRA045,2,2, Brinco de Ouro,D
222,2003,Brasileirão Série A,19,2003-07-16,BRA028,BRA005,3,3, Beira Rio,D
223,2003,Brasileirão Série A,19,2003-07-16,BRA040,BRA036,2,1, Vila Belmiro,H
224,2003,Brasileirão Série A,19,2003-07-16,BRA018,BRA044,4,1, Mineirão,H
225,2003,Brasileirão Série A,19,2003-07-16,BRA024,BRA015,1,1, Serra Dourada,D
226,2003,Brasileirão Série A,19,2003-07-17,BRA035,BRA025,1,1, Mangueirão,D
227,2003,Brasileirão Série A,19,2003-07-17,BRA042,BRA003,2,0, Morumbi,H
229,2003,Brasileirão Série A,20,2003-07-19,BRA022,BRA040,1,4,  Giulite Coutinho,A
230,2003,Brasileirão Série A,20,2003-07-19,BRA015,BRA027,1,0, Pacaembu,H
231,2003,Brasileirão Série A,20,2003-07-19,BRA023,BRA005,4,3, Castelão,H
232,2003,Brasileirão Série A,20,2003-07-19,BRA028,BRA020,3,0, Beira Rio,H
233,2003,Brasileirão Série A,20,2003-07-20,BRA031,BRA035,2,0, Alfredo Jaconi,H
234,2003,Brasileirão Série A,20,2003-07-20,BRA003,BRA007,2,1, Arena da Baixada,H
235,2003,Brasileirão Série A,20,2003-07-20,BRA036,BRA016,1,1, Moisés Lucarelli,D
236,2003,Brasileirão Série A,20,2003-07-20,BRA017,BRA021,4,3, Heriberto Hulse,H
237,2003,Brasileirão Série A,20,2003-07-20,BRA024,BRA041,2,1, Serra Dourada,H
238,2003,Brasileirão Série A,20,2003-07-20,BRA045,BRA042,0,2, Barradão,A
239,2003,Brasileirão Série A,20,2003-07-20,BRA018,BRA034,5,1, Mineirão,H
240,2003,Brasileirão Série A,20,2003-07-20,BRA044,BRA025,2,0, São Januário,H
241,2003,Brasileirão Série A,21,2003-07-23,BRA034,BRA023,4,1, Pinheirão,H
242,2003,Brasileirão Série A,21,2003-07-23,BRA005,BRA031,2,1, Mineirão,H
243,2003,Brasileirão Série A,21,2003-07-23,BRA035,BRA018,3,0, Mangueirão,H
244,2003,Brasileirão Série A,21,2003-07-23,BRA027,BRA003,1,0, Brinco de Ouro,H
245,2003,Brasileirão Série A,21,2003-07-23,BRA020,BRA044,0,0, Orlando Scarpelli,D
246,2003,Brasileirão Série A,21,2003-07-23,BRA040,BRA024,3,3, Vila Belmiro,D
247,2003,Brasileirão Série A,21,2003-07-23,BRA007,BRA015,0,0, Fonte Nova,D
248,2003,Brasileirão Série A,21,2003-07-24,BRA016,BRA045,1,1, Couto Pereira,D
249,2003,Brasileirão Série A,21,2003-07-24,BRA025,BRA017,0,2, Olímpico,A
250,2003,Brasileirão Série A,21,2003-07-24,BRA021,BRA028,2,1, Maracanã,H
251,2003,Brasileirão Série A,21,2003-07-24,BRA041,BRA022,2,0, Anacleto Campanella,H
252,2003,Brasileirão Série A,21,2003-07-24,BRA042,BRA036,1,2, Morumbi,A
253,2003,Brasileirão Série A,22,2003-07-26,BRA040,BRA044,2,1, Vila Belmiro,H
254,2003,Brasileirão Série A,22,2003-07-26,BRA024,BRA005,1,1, Serra Dourada,D
255,2003,Brasileirão Série A,22,2003-07-26,BRA003,BRA035,1,1, Arena da Baixada,D
256,2003,Brasileirão Série A,22,2003-07-27,BRA023,BRA036,2,3, Castelão,A
257,2003,Brasileirão Série A,22,2003-07-27,BRA031,BRA022,2,1, Alfredo Jaconi,H
258,2003,Brasileirão Série A,22,2003-07-27,BRA021,BRA042,1,1, Maracanã,D
259,2003,Brasileirão Série A,22,2003-07-27,BRA017,BRA016,2,3, Heriberto Hulse,A
260,2003,Brasileirão Série A,22,2003-07-27,BRA027,BRA020,3,0, Brinco de Ouro,H
261,2003,Brasileirão Série A,22,2003-07-27,BRA045,BRA034,0,3, Barradão,A
262,2003,Brasileirão Série A,22,2003-07-27,BRA015,BRA025,1,0, Pacaembu,H
263,2003,Brasileirão Série A,22,2003-07-27,BRA018,BRA007,5,2, Mineirão,H
264,2003,Brasileirão Série A,22,2003-07-27,BRA028,BRA041,0,0, Beira Rio,D
179,2003,Brasileirão Série A,15,2003-07-30,BRA003,BRA040,0,2, Arena da Baixada,A
180,2003,Brasileirão Série A,15,2003-07-30,BRA024,BRA036,0,0, Serra Dourada,D
228,2003,Brasileirão Série A,19,2003-07-31,BRA034,BRA017,2,1, Pinheirão,H
265,2003,Brasileirão Série A,23,2003-08-02,BRA022,BRA018,2,2,  Giulite Coutinho,D
266,2003,Brasileirão Série A,23,2003-08-02,BRA025,BRA040,2,0, Olímpico,H
267,2003,Brasileirão Série A,23,2003-08-02,BRA042,BRA028,0,2, Morumbi,A
268,2003,Brasileirão Série A,23,2003-08-02,BRA041,BRA031,1,1, Anacleto Campanella,D
269,2003,Brasileirão Série A,23,2003-08-03,BRA020,BRA024,0,1, Orlando Scarpelli,A
270,2003,Brasileirão Série A,23,2003-08-03,BRA034,BRA015,1,1, Arena da Baixada,D
271,2003,Brasileirão Série A,23,2003-08-03,BRA035,BRA027,6,1, Mangueirão,H
272,2003,Brasileirão Série A,23,2003-08-03,BRA016,BRA023,1,1, Couto Pereira,D
273,2003,Brasileirão Série A,23,2003-08-03,BRA007,BRA017,2,2, Fonte Nova,D
