match_id,round,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios,team_id
188,16,0,0,,0,,0,0,0,0,0,BRA031
189,16,0,0,,0,,0,0,0,0,0,BRA017
189,16,0,0,,0,,0,0,0,0,0,BRA023
190,16,0,0,,0,,0,0,0,0,0,BRA045
190,16,0,0,,0,,0,0,0,0,0,BRA036
191,16,0,0,,0,,0,0,0,0,0,BRA040
191,16,0,0,,0,,0,0,0,0,0,BRA016
192,16,0,0,,0,,0,0,0,0,0,BRA022
192,16,0,0,,0,,0,0,0,0,0,BRA007
193,17,0,0,,0,,0,0,0,0,0,BRA041
193,17,0,0,,0,,0,0,0,0,0,BRA003
194,17,0,0,,0,,0,0,0,0,0,BRA015
194,17,0,0,,0,,0,0,0,0,0,BRA040
195,17,0,0,,0,,0,0,0,0,0,BRA018
195,17,0,0,,0,,0,0,0,0,0,BRA023
196,17,0,0,,0,,0,0,0,0,0,BRA027
196,17,0,0,,0,,0,0,0,0,0,BRA007
197,17,0,0,,0,,0,0,0,0,0,BRA035
197,17,0,0,,0,,0,0,0,0,0,BRA020
198,17,0,0,,0,,0,0,0,0,0,BRA024
198,17,0,0,,0,,0,0,0,0,0,BRA045
199,17,0,0,,0,,0,0,0,0,0,BRA031
199,17,0,0,,0,,0,0,0,0,0,BRA021
200,17,0,0,,0,,0,0,0,0,0,BRA044
200,17,0,0,,0,,0,0,0,0,0,BRA028
201,17,0,0,,0,,0,0,0,0,0,BRA016
201,17,0,0,,0,,0,0,0,0,0,BRA042
202,17,0,0,,0,,0,0,0,0,0,BRA022
202,17,0,0,,0,,0,0,0,0,0,BRA036
203,17,0,0,,0,,0,0,0,0,0,BRA005
203,17,0,0,,0,,0,0,0,0,0,BRA017
204,17,0,0,,0,,0,0,0,0,0,BRA034
204,17,0,0,,0,,0,0,0,0,0,BRA025
205,18,0,0,,0,,0,0,0,0,0,BRA024
205,18,0,0,,0,,0,0,0,0,0,BRA003
206,18,0,0,,0,,0,0,0,0,0,BRA028
206,18,0,0,,0,,0,0,0,0,0,BRA023
207,18,0,0,,0,,0,0,0,0,0,BRA044
207,18,0,0,,0,,0,0,0,0,0,BRA035
208,18,0,0,,0,,0,0,0,0,0,BRA021
208,18,0,0,,0,,0,0,0,0,0,BRA005
209,18,0,0,,0,,0,0,0,0,0,BRA007
209,18,0,0,,0,,0,0,0,0,0,BRA036
210,18,0,0,,0,,0,0,0,0,0,BRA016
210,18,0,0,,0,,0,0,0,0,0,BRA015
211,18,0,0,,0,,0,0,0,0,0,BRA017
211,18,0,0,,0,,0,0,0,0,0,BRA031
212,18,0,0,,0,,0,0,0,0,0,BRA034
212,18,0,0,,0,,0,0,0,0,0,BRA020
213,18,0,0,,0,,0,0,0,0,0,BRA027
213,18,0,0,,0,,0,0,0,0,0,BRA041
214,18,0,0,,0,,0,0,0,0,0,BRA022
214,18,0,0,,0,,0,0,0,0,0,BRA042
215,18,0,0,,0,,0,0,0,0,0,BRA018
215,18,0,0,,0,,0,0,0,0,0,BRA025
216,18,0,0,,0,,0,0,0,0,0,BRA045
216,18,0,0,,0,,0,0,0,0,0,BRA040
217,19,0,0,,0,,0,0,0,0,0,BRA023
217,19,0,0,,0,,0,0,0,0,0,BRA021
218,19,0,0,,0,,0,0,0,0,0,BRA020
